Hormone,G0_Mean_SD,G0_Med_IQR,G1_Mean_SD,G1_Med_IQR,Shapiro_G0_p,Shapiro_G1_p,Levene_p,t_test_p,Wilcox_p,BM_p,Applicable_Test,Decision_p
hormone1,1.82 (1.58),1.50 (1.00),1.66 (0.86),1.50 (0.90),6.226677906840618e-44,1.397506253092093e-09,0.08681455955116824,0.19557164175717512,0.758674647091452,0.7499626955499512,Wilcoxon,0.758674647091452
hormone2,375.15 (255.41),312.00 (226.50),411.96 (270.89),365.50 (235.00),8.292935870160743e-37,6.289059123736317e-17,0.9787451903807899,0.09390752193188417,0.005403310440800195,0.0035906099235682998,Wilcoxon,0.005403310440800195
hormone3,8.99 (11.58),5.60 (6.00),9.91 (11.79),6.05 (6.67),6.061244047886619e-44,1.2304156018119459e-18,0.5773941717354667,0.3528620177393229,0.13458611419321,0.13067577205555625,Wilcoxon,0.13458611419321
hormone4,7.51 (10.92),5.50 (3.50),9.40 (13.44),5.50 (4.60),7.422780250452673e-50,9.168616227865582e-22,0.06297301155204652,0.04960172645760109,0.14820636014532343,0.1635143811974098,Wilcoxon,0.14820636014532343
hormone5,335.61 (332.26),274.90 (197.22),276.45 (235.44),250.00 (194.77),4.15373646456119e-44,2.3155727121931686e-18,0.16527003873284465,0.030561064151965616,0.003717463174032088,0.0030409349499149253,Wilcoxon,0.003717463174032088
hormone6,78.89 (53.99),64.50 (60.40),75.75 (48.68),68.70 (63.53),1.7667210368755076e-28,3.118992086842753e-09,0.5336476490654056,0.4900496597271924,0.8159885820845967,0.8172988197405509,Wilcoxon,0.8159885820845967
hormone7,5.63 (3.90),5.10 (4.90),5.65 (3.97),5.10 (5.25),1.205008612252839e-31,7.720001317369809e-13,0.798758062349043,0.9407341220032587,0.9205812660271506,0.9219787445278531,Wilcoxon,0.9205812660271506
hormone8,180.02 (87.23),166.00 (102.00),153.76 (70.96),142.50 (97.25),6.212376739128521e-21,6.398026738052402e-05,0.07096812406926278,0.0003097846782701391,0.00038398765876212994,0.00038266747917817804,Wilcoxon,0.00038398765876212994
hormone10_generated,0.76 (8.30),0.43 (0.36),0.51 (0.37),0.46 (0.32),4.7447672349792905e-57,2.1989959228720303e-15,0.6908828214473363,0.6994481965867965,0.790516746454749,0.7886076180199033,Wilcoxon,0.790516746454749
